"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Sawmill Ridge",1068,"Washington","SNOTEL","King",4640,47.15992,-121.42172,171100130104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",22.3,NA,NA,85,81,100,52,55,-5.2,29,11,5,"",NA,NA,26.37,27.5,3.1,45.9,"2015","2008",15
"Sawtooth",1251,"Colorado","SNOTEL","Boulder",9620,40.13697,-105.58625,101900050102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.2,NA,NA,74,85,100,44,44,-2.2,0,7,1,"Lowest",NA,NA,16.53,14.4,12.2,24,"2021","2017",7
"Schneider Meadows",736,"Oregon","SNOTEL","Baker",5400,45.00107,-117.16522,170502010603,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",22.5,100,101,104,102,100,76,77,0.4,62,16,24,"",22.4,22.2,21.59,22.1,11.7,35.9,"2014","1999",40
"Schofield Pass",737,"Colorado","SNOTEL","Gunnison",10700,39.01522,-107.04877,140100040701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16,72,73,74,76,100,42,44,-5.1,26,27,10,"",22.1,22,21.77,21.1,12.4,38.7,"2000","2017",36
"Schwartz Lake",915,"Idaho","SNOTEL","Lemhi",8630,44.84618,-113.83732,170602040604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6,85,86,83,86,100,49,48,-0.95,28,19,6,"",7.1,7,7.25,6.95,4.3,12.2,"2002","1997",26
"Schweitzer Basin",738,"Idaho","SNOTEL","Bonner",6090,48.37428,-116.63917,170102150502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",31.3,91,94,92,93,98,60,62,-2.2,42,23,17,"",34.5,33.3,34.15,33.5,13.9,62.7,"2001","1999",39
"Scotch Creek",739,"Colorado","SNOTEL","Dolores",9100,37.64556,-108.00786,140300020204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.9,69,76,70,77,102,47,49,-1.8,21,28,8,"",8.6,7.8,8.45,7.7,2.5,16.4,"1990, 2018","1997",35
"Secesh Summit",740,"Idaho","SNOTEL","Valley",6540,45.18848,-115.97152,170501230101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.2,86,91,88,93,100,58,59,-1.55,31,28,13,"",22.4,21.2,21.89,20.75,11.1,38.1,"2001","1997",40
"Sedgwick Peak",741,"Idaho","SNOTEL","Bannock",7850,42.52497,-111.95635,170402080209,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,63,61,65,68,100,41,42,-4,6,31,3,"",13.5,13.9,13.09,12.5,6.7,27.5,"1992","1997",33
"Seeley Creek",742,"Utah","SNOTEL","Sanpete",9904,39.31042,-111.43297,140600090203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4,42,45,44,47,89,24,28,-4.55,7,39,4,"",9.6,8.8,9.15,8.55,2,18.3,"2018","1983",42
"Seine Creek",743,"Oregon","SNOTEL","Washington",2060,45.52688,-123.29857,170900100203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,5,NA,7,NA,8,2,3,0.1,56,18,23,"",1.9,0,1.4,0,0,7.8,"2017, 2018, 2020, more","1993",40
"Senorita Divide #2",744,"New Mexico","SNOTEL","Rio Arriba",8600,36.00198,-106.83348,130202020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.6,53,54,57,57,92,39,39,-2.7,22,32,9,"",6.8,6.7,6.3,6.3,0.5,13.3,"2006","1983",41
"Sentinel Butte",1043,"Washington","SNOTEL","Ferry",4680,48.86133,-118.39843,170200021705,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.8,133,135,122,124,95,80,82,1.7,82,4,15,"",6.6,6.5,7.19,7.1,4,12.2,"2012","2016",18
"Sevenmile Marsh",745,"Oregon","SNOTEL","Klamath",5700,42.69825,-122.14165,180102030104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",17.3,76,73,82,84,100,55,53,-3.4,38,26,16,"",22.9,23.8,20.97,20.7,0,35.1,"2015","1982",41
"Seventysix Creek",746,"Nevada","SNOTEL","Elko",7350,41.73732,-115.47215,170501020108,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.8,56,58,59,65,100,41,42,-2.6,24,33,10,"",8.6,8.3,8.19,7.4,2.3,18.5,"2018","1984",43
"Shanghi Summit",747,"Idaho","SNOTEL","Clearwater",4600,46.56603,-115.74216,170603060402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.7,101,106,105,109,100,76,80,1.55,65,14,25,"",19.6,18.5,18.85,18.15,5.7,30.9,"2005","1997",38
"Sharkstooth",1060,"Colorado","SNOTEL","Montezuma",10720,37.50357,-108.11373,140300020206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.8,55,55,59,64,100,38,41,-4.3,19,14,4,"",14.3,14.1,13.13,12.1,4.4,24.2,"2018","2017",17
"Sheep Canyon",748,"Washington","SNOTEL","Cowlitz",3990,46.19325,-122.25393,170800050601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",26,102,109,105,112,100,63,65,2.8,65,14,25,"",25.5,23.8,24.74,23.2,0,58.9,"2015","1999",38
"Sheep Mtn.",749,"Idaho","SNOTEL","Bingham",6650,43.2103,-111.68792,170402050304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,84,82,86,88,100,62,59,-1.1,27,28,11,"",9.9,10.1,9.7,9.4,4.4,18.8,"1992","1997",38
"Sheldon",750,"Nevada","SNOTEL","Washoe",5865,41.90435,-119.44464,171200080106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,14,NA,22,100,17,8,9,0,63,12,16,"",0.7,0,0.45,0.1,0,3.6,"2017, 2018, 2020, more","1993",31
"Shell Creek",751,"Wyoming","SNOTEL","Big Horn",9580,44.50012,-107.42947,100800100101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.6,104,108,103,107,100,57,57,0.7,59,18,25,"",10.2,9.8,10.3,9.9,5.6,16.5,"2016","2018",42
"Sherwin",752,"Idaho","SNOTEL","Latah",3200,46.95028,-116.33972,170103040703,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,94,99,99,101,100,78,78,0.1,51,19,20,"",8.8,8.4,8.36,8.2,1.6,16.2,"2015","2008",38
"Short Creek",753,"Montana","SNOTEL","Madison",7000,44.97572,-111.95215,100200030106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.8,100,100,97,97,100,61,61,-0.1,44,19,15,"",3.8,3.8,3.9,3.9,2.7,5.3,"2009","1992, 1997, 2020",33
"Shower Falls",754,"Montana","SNOTEL","Gallatin",8100,45.40125,-110.95758,100200081001,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.3,109,115,102,110,99,52,54,1.4,56,25,32,"",14,13.3,15.04,13.9,10.2,23.9,"1989","1997",56
"Shuree",1169,"New Mexico","SNOTEL","Colfax",10100,36.78778,-105.23999,130201010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.4,NA,NA,116,126,100,88,91,1.1,60,5,7,"",NA,NA,4.65,4.3,0.6,8.8,"2018","2017",11
"Sierra Blanca",1034,"New Mexico","SNOTEL","Lincoln",10280,33.40472,-105.78722,130600080103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.3,3,3,4,5,25,3,3,-5.5,11,17,3,"",10.6,9.8,7.28,5.8,0,21.1,"2006, 2018","2010",19
"Signal Peak",755,"New Mexico","SNOTEL","Grant",8360,32.92401,-108.14538,150400010803,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,2,2,2,3,6,2,2,-3.2,18,34,7,"",5.1,4.2,4.14,3.3,0,12.5,"2017, 2018, 2019, more","1983",41
"Silver Creek",756,"Oregon","SNOTEL","Lake",5740,42.95615,-121.18123,171200050206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,70,70,76,77,94,53,54,-1.9,25,31,11,"",8.8,8.8,8.19,8.1,0,18.8,"2015","2006",41
"Silver Creek Divide",757,"New Mexico","SNOTEL","Catron",9000,33.37106,-108.70618,150400040605,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.6,47,52,51,55,86,36,41,-3,20,33,7,"",7.6,6.9,7,6.6,0,19.5,"2000","1985",41
"Silvies",759,"Oregon","SNOTEL","Harney",6990,42.75333,-118.68785,171200030201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.8,82,86,89,97,100,54,57,-0.3,44,24,19,"",12,11.4,11,10.1,3.2,28.9,"1991","1983",42
"Skalkaho Summit",760,"Montana","SNOTEL","Granite",7250,46.24212,-113.7725,170102021003,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.7,95,99,94,99,100,60,63,-0.2,43,26,19,"",15.5,14.9,15.61,14.9,7.4,29.4,"1977","1997",45
"Skate Creek",1257,"Washington","SNOTEL","Lewis",3770,46.64336,-121.83044,170800040505,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",30.5,NA,NA,151,151,100,120,112,10.3,100,1,7,"Highest",NA,NA,20.21,20.2,0,30.5,"2015","2021",7
"Skookum Creek",912,"Washington","SNOTEL","King",3310,47.68433,-121.61007,171100100503,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",35.5,185,161,170,162,100,91,86,13.65,88,4,23,"",19.2,22.1,20.89,21.85,0,54.4,"2015","2008",26
"Slagamelt Lakes",1286,"Montana","SNOTEL","Beaverhead",8620,45.36526,-113.71834,100200040308,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.7,NA,NA,100,100,100,NA,NA,0,NA,1,1,"",NA,NA,19.7,19.7,19.7,19.7,"2021","2021",1
"Sleeping Woman",783,"Montana","SNOTEL","Sanders",6150,47.17902,-114.33368,170102120708,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.9,89,97,90,95,100,58,64,-0.5,34,20,11,"",11.1,10.2,11.01,10.4,6.4,20.8,"2005","1997",30
"Slug Creek Divide",761,"Idaho","SNOTEL","Caribou",7225,42.56248,-111.29797,170402070201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.7,90,97,88,95,100,58,63,-0.5,45,23,19,"",10.8,10,11.05,10.2,5.8,20.2,"1987, 1992","1997",41
"Slumgullion",762,"Colorado","SNOTEL","Hinsdale",11560,37.9908,-107.20327,140200020502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.6,93,92,93,92,100,56,57,-0.7,35,27,14,"",9.2,9.3,9.23,9.3,3.5,15.1,"1981","1997",41
"Smiley Mountain",926,"Idaho","SNOTEL","Custer",9520,43.72718,-113.83402,170402180102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.7,60,62,66,70,100,37,38,-3.3,0,20,1,"Lowest",12.9,12.5,11.63,11,7.7,21.1,"2021","2017",20
"Smith  Morehouse",763,"Utah","SNOTEL","Summit",7631,40.78931,-111.09192,160201010203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.4,45,44,46,46,100,30,31,-5.1,2,42,2,"2nd Lowest",9.8,9.9,9.53,9.5,3.3,16.3,"2018","1997",43
"Smith Ridge",1167,"Oregon","SNOTEL","Linn",3270,44.30325,-122.04053,170900040203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.9,NA,NA,46,59,95,21,24,-1.3,33,7,4,"",NA,NA,4.09,3.2,0,12.4,"2012, 2015, 2018","2017",10
"Snake River Station",764,"Wyoming","SNOTEL","Teton",6920,44.13361,-110.66917,170401010402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.1,88,89,88,88,100,62,62,-1.45,26,24,9,"",12.6,12.5,12.64,12.55,6.9,23.4,"2010","1997",32
"Snider Basin",765,"Wyoming","SNOTEL","Sublette",8060,42.4949,-110.53203,140401010906,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.4,90,99,88,97,100,59,65,-0.3,44,23,18,"",9.3,8.5,9.58,8.7,5.2,19.8,"1981","1997",40
"Snow Mountain",767,"Oregon","SNOTEL","Harney",6230,43.94885,-119.54013,171200020501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,102,112,106,116,100,65,63,1.2,60,18,24,"",8.3,7.6,8,7.3,2.3,15.9,"1991, 1992","1984",43
"Snowbird",766,"Utah","SNOTEL","Salt Lake",9177,40.56914,-111.65852,160202040202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.3,65,75,66,77,100,36,38,-4.9,26,24,9,"",24.9,21.7,24.64,21.2,12.5,43.4,"2018","2005",32
"Snowslide Canyon",927,"Arizona","SNOTEL","Coconino",9730,35.3416,-111.65058,150200160201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.2,67,88,79,95,99,53,61,-0.5,39,15,10,"",15.2,11.6,12.95,10.7,2.8,30.6,"2018","2005",24
"Soldier Park",1132,"Wyoming","SNOTEL","Johnson",8720,44.34847,-107.0136,100902060103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.9,NA,NA,41,44,90,20,22,-2.4,10,10,1,"Lowest",NA,NA,4.63,4.3,1.9,9.3,"2016, 2021","2012",11
"Soldier R.S.",769,"Idaho","SNOTEL","Camas",5740,43.48407,-114.82692,170402200303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.2,76,80,79,83,95,62,61,-1.5,38,22,14,"",9.5,9,9.08,8.7,2.9,18,"2018","1997",35
"Somsen Ranch",770,"Idaho","SNOTEL","Caribou",6800,42.95275,-111.35933,170402070101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.1,86,85,88,88,100,63,63,-1.1,35,27,15,"",9.4,9.5,9.23,9.2,4.7,16.9,"1992","1997",41
"Sonora Pass",771,"California","SNOTEL","Mono",8770,38.31021,-119.6003,160503020104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.9,70,75,73,75,100,43,46,-3.9,36,28,16,"",17.1,15.8,16.37,15.8,2.9,35.4,"1991","2017",43
"Sourdough Gulch",985,"Washington","SNOTEL","Asotin",4000,46.23718,-117.39438,170601030202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.6,23,86,36,86,46,20,31,-0.1,45,12,10,"",2.6,0.7,1.67,0.7,0,13.3,"2011, 2015, 2018, more","2008",21
"South Brush Creek",772,"Wyoming","SNOTEL","Carbon",8440,41.32943,-106.50248,101800020303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.7,83,86,84,88,100,50,53,-0.9,25,31,10,"",8.1,7.8,8.02,7.6,4.2,13.4,"1981","1997, 2011",41
"South Colony",773,"Colorado","SNOTEL","Custer",10800,37.96811,-105.53787,110200011206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.4,117,113,124,119,100,72,69,2.25,83,6,25,"",12.3,12.8,11.59,12.15,3.4,24.2,"2018","2008",30
"South Fork Bull Run",925,"Oregon","SNOTEL","Clackamas",2690,45.44575,-122.03125,170800010504,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1,22,333,25,91,100,11,12,-0.1,48,13,12,"",4.5,0.3,4.03,1.1,0,33,"2015, 2016, 2018, more","2008",24
"South Mtn.",774,"Idaho","SNOTEL","Owyhee",6500,42.76478,-116.90037,170501080205,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,59,62,65,72,100,45,46,-3.3,23,31,10,"",14.1,13.3,12.74,11.6,3,25,"2018","1989",40
"South Pass",775,"Wyoming","SNOTEL","Fremont",9040,42.57317,-108.84325,100800030101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,56,63,59,66,100,34,38,-3.15,0,36,1,"Lowest",11,9.9,10.52,9.35,6.2,22.9,"2021","1997",36
"Spencer Meadow",776,"Washington","SNOTEL","Skamania",3400,46.1795,-121.92661,170800020108,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19,78,78,86,102,100,56,59,0.45,51,19,20,"",24.3,24.4,22.04,18.55,0,51.7,"2015","1999",38
"Spirit Lake",777,"Washington","SNOTEL","Skamania",3520,46.26113,-122.1772,170800050502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.8,95,193,105,207,100,48,51,3,69,12,26,"",6.1,3,5.52,2.8,0,20.3,"2003, 2015, 2018, more","1985",37
"Spirit Lk",1117,"Utah","SNOTEL","Daggett",10235,40.83868,-110.00527,140401060501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.9,NA,NA,85,97,100,46,49,-0.25,36,8,5,"",NA,NA,8.09,7.15,4.9,12.8,"2015","2020",12
"Spratt Creek",778,"California","SNOTEL","Alpine",6063,38.66627,-119.81741,160502010107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6,125,146,132,146,100,87,109,1.9,73,12,30,"",4.8,4.1,4.55,4.1,0,15.8,"1991, 2015, 2018, more","1983",41
"Spring Creek Divide",779,"Wyoming","SNOTEL","Sublette",9000,42.52516,-110.66148,140401011001,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.8,89,93,86,92,100,52,57,-1.25,31,28,12,"",16.7,16,17.23,16.05,9.4,31.6,"1981","1997",40
"Spruce Springs",984,"Washington","SNOTEL","Garfield",5700,46.18287,-117.54155,170601030201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.9,66,71,90,95,100,56,61,-0.45,37,13,8,"",13.4,12.6,9.91,9.35,2.2,21.7,"2015","2008",20
"Spud Mountain",780,"Colorado","SNOTEL","San Juan",10660,37.69866,-107.77715,140801040202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.8,77,79,79,79,100,53,54,-3.7,29,25,11,"",18,17.5,17.49,17.5,3.7,32.5,"1990","2005",35
"Spur Park",781,"Montana","SNOTEL","Judith Basin",8100,46.77962,-110.62165,100401030301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.7,110,115,100,102,99,62,63,0.3,54,26,30,"",14.3,13.6,15.71,15.4,7.4,27.5,"1987","1972",55
"Squaw Flat",782,"Idaho","SNOTEL","Adams",6240,44.77091,-116.24805,170501240401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.8,91,98,94,99,100,60,58,-0.1,49,21,20,"",15.2,14.1,14.73,13.9,5.9,27.7,"1991","1999",40
"Squaw Valley G.C.",784,"California","SNOTEL","Placer",8013,39.18986,-120.26576,160501020202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18.9,51,54,55,60,100,34,38,-12.7,22,32,10,"",37.2,34.8,34.38,31.6,7.7,83.3,"1991","1997",41
"St. Lawrence Alt",786,"Wyoming","SNOTEL","Fremont",8620,43.03313,-109.17025,100800020105,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.4,9,9,10,10,33,5,6,-3.7,0,38,1,"Lowest",4.4,4.4,4.02,4.1,0.4,7.5,"2021","1997",38
"Stahl Peak",787,"Montana","SNOTEL","Lincoln",6030,48.90902,-114.86298,170101010801,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",22.5,89,95,91,97,100,57,58,-0.8,40,28,19,"",25.3,23.7,24.66,23.3,12.3,43.1,"1977","1991",46
"Stampede Pass",788,"Washington","SNOTEL","King",3850,47.27427,-121.34162,171100130103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",29.4,93,97,102,102,100,70,74,0.5,55,18,21,"",31.6,30.4,28.74,28.9,4.3,54.6,"2005","1997",39
"Starr Ridge",789,"Oregon","SNOTEL","Grant",5250,44.26423,-119.02162,171200020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.9,82,89,85,91,100,66,68,-0.5,45,23,19,"",6,5.5,5.76,5.4,0,11.6,"2015","2006",41
"State Line",1258,"California","SNOTEL","Modoc",5680,41.98609,-120.71574,180102040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.6,NA,NA,90,82,100,52,53,-0.8,33,5,3,"",NA,NA,4.01,4.4,0,7.6,"2015, 2018","2016",7
"Steel Creek Park",790,"Utah","SNOTEL","Summit",10158,40.90862,-110.50462,140401070203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8,82,82,80,79,100,41,43,-2.1,17,36,8,"",9.8,9.7,9.95,10.1,6.8,15.9,"1991","1982",43
"Stevens Pass",791,"Washington","SNOTEL","King",3950,47.74607,-121.09288,171100090102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",34.2,114,113,118,120,100,86,86,5.6,73,12,30,"",29.9,30.2,28.9,28.6,3.3,48.8,"1981","1997",41
"Stickney Mill",792,"Idaho","SNOTEL","Custer",7430,43.86117,-114.20902,170402180303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.8,86,89,86,89,100,55,56,-0.6,38,26,16,"",5.6,5.4,5.6,5.4,1.9,11.7,"1991","1997",41
"Stillwater Creek",793,"Colorado","SNOTEL","Grand",8720,40.22543,-105.91977,140100010306,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.9,48,50,48,50,100,33,37,-2.95,3,35,2,"2nd Lowest",6,5.8,6.1,5.85,2.6,10.8,"1987","1997",36
"Strawberry",794,"Oregon","SNOTEL","Lake",5770,42.12587,-120.8361,180102040501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3,61,67,68,71,88,46,50,-1.2,35,27,15,"",4.9,4.5,4.4,4.2,0,13.3,"2003, 2015, 2018","1983",41
"Strawberry Divide",795,"Utah","SNOTEL","Wasatch",8123,40.16483,-111.20665,140600040103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6,50,50,50,54,100,33,36,-5.2,12,38,6,"",12,11.9,11.94,11.2,4.2,26.9,"2018","1997",43
"Stringer Creek",1009,"Montana","SNOTEL","Meagher",6550,46.9269,-110.90198,100301030801,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.2,112,111,102,104,100,66,68,0.3,58,9,12,"",7.3,7.4,8.03,7.9,4.1,10.7,"2017","2011",20
"Stuart Mountain",901,"Montana","SNOTEL","Missoula",7400,46.99523,-113.92664,170102040102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",20.5,90,92,88,92,100,56,58,-1.8,31,19,9,"",22.7,22.2,23.37,22.3,15,35.8,"2005","1997",27
"Stump Lakes",797,"Colorado","SNOTEL","San Juan",11200,37.47621,-107.63295,140801040702,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10,81,79,84,79,100,50,54,-2.6,35,23,13,"",12.3,12.6,11.95,12.6,3.3,25.8,"2002","2005",35
"Sucker Creek",798,"Wyoming","SNOTEL","Sheridan",8880,44.7225,-107.40033,100901010203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,115,117,114,118,100,61,61,1.4,76,11,33,"",7.8,7.7,7.93,7.6,3.7,11.3,"1981","1990",43
"Summer Rim",800,"Oregon","SNOTEL","Lake",7080,42.6957,-120.80158,180102020103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.3,41,43,46,47,100,28,30,-5.9,5,41,3,"",12.8,12.2,11.62,11.2,3.2,23.5,"1991","1997",43
"Summit Creek",955,"Alaska","SNOTEL","Kenai Peninsula",1400,60.61713,-149.53128,190203020401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.2,115,117,122,122,97,90,90,1.85,74,9,24,"",8.9,8.7,8.37,8.35,2.8,15.9,"2015","2012",32
"Summit Lake",801,"Oregon","SNOTEL","Klamath",5610,43.44907,-122.13808,170703020203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",22.5,81,87,88,94,100,53,53,-1.4,38,26,15,"",27.7,25.8,25.69,23.9,8.4,45.2,"2015","1999",41
"Summit Lk",1194,"Nevada","SNOTEL","Humboldt",7615,41.48953,-118.99663,160402021301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.7,NA,NA,109,99,100,74,76,-0.1,44,6,5,"",NA,NA,7.07,7.8,2.9,12.4,"2014","2017",10
"Summit Meadow",1052,"California","SNOTEL","Alpine",9313,38.39747,-119.53522,160503020203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10,62,63,69,73,100,39,48,-3.7,41,11,8,"",16.1,16,14.58,13.7,4.8,37.9,"2012","2017",18
"Summit Ranch",802,"Colorado","SNOTEL","Summit",9400,39.71796,-106.15802,140100020502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6,79,85,79,82,100,48,50,-1.3,26,30,11,"",7.6,7.1,7.6,7.3,4.3,12.4,"2013","1984",40
"Sun Pass",1078,"Oregon","SNOTEL","Klamath",5400,42.78637,-121.97715,180102010602,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.7,NA,NA,86,84,100,60,54,-2,29,11,5,"",NA,NA,12.49,12.7,0,23.1,"2015","2008",15
"Sunflower Flat",1249,"Utah","SNOTEL","Garfield",10018,38.048,-111.33981,140700030406,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.5,NA,NA,54,56,100,32,40,-3.5,14,7,2,"2nd Lowest",NA,NA,8.32,8,3.1,14.2,"2018","2017",8
"Sunset",803,"Idaho","SNOTEL","Shoshone",5540,47.55545,-115.82422,170103020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.1,76,75,75,77,98,50,52,-4,29,28,11,"",17.2,17.4,17.44,17.1,7.4,34.8,"2005","1997",39
"Surprise Lakes",804,"Washington","SNOTEL","Skamania",4290,46.09497,-121.76345,170800020107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",34.9,36.2,33.43,31.1,6.6,59.5,"1981","2006",41
"Susitna Valley High",967,"Alaska","SNOTEL","Matanuska-Susitna",375,62.13333,-150.04167,190205050105,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.7,76,85,81,89,100,60,64,-0.7,30,24,10,"",7.5,6.7,7,6.4,2.6,14.3,"2003","2000",34
"Suu Ranch",1248,"Utah","SNOTEL","Iron",8050,37.59711,-112.92949,160300060306,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,7.83,9.2,3.2,12.1,"2018","2019",7
"Swamp Creek",975,"Washington","SNOTEL","Skagit",3930,48.57142,-120.78267,171100050503,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.5,114,116,113,114,100,81,82,1.85,71,7,16,"",13.6,13.4,13.75,13.65,3.1,21.2,"2005","2000",22
"Swan Lake Mtn",1077,"Oregon","SNOTEL","Klamath",6830,42.41323,-121.68002,180102040802,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.6,NA,NA,74,75,100,43,42,-3.6,29,11,5,"",NA,NA,14.37,14.2,4.8,24.6,"2014","2016",15
"Swede Peak",805,"Idaho","SNOTEL","Blaine",7640,43.626,-113.96887,170402210301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.7,74,74,78,81,100,49,55,-1.85,33,27,14,"",10.4,10.4,9.92,9.55,3,21.9,"1987","1997",40
